"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.12.2024","120.283","120.267","121.050","120.158","8,90M","0,01%"
"27.12.2024","120.269","121.078","121.609","120.252","8,94M","-0,67%"
"26.12.2024","121.078","120.767","121.612","120.428","8,34M","0,26%"
"23.12.2024","120.767","122.105","122.105","120.617","9,95M","-1,09%"
"20.12.2024","122.102","121.183","122.209","120.700","18,13M","0,75%"
"19.12.2024","121.188","120.768","121.770","120.768","13,68M","0,34%"
"18.12.2024","120.772","124.699","124.699","120.457","19,74M","-3,15%"
"17.12.2024","124.698","123.560","125.301","123.560","17,56M","0,92%"
"16.12.2024","123.560","124.610","124.956","123.495","11,07M","-0,84%"
"13.12.2024","124.612","126.102","126.290","124.578","11,76M","-1,13%"
"12.12.2024","126.042","129.587","129.587","125.829","13,45M","-2,74%"
"11.12.2024","129.593","128.228","130.899","127.362","13,17M","1,06%"
"10.12.2024","128.228","127.213","128.511","127.213","9,14M","0,80%"
"09.12.2024","127.210","125.946","127.542","125.946","9,37M","1,00%"
"06.12.2024","125.946","127.856","127.872","125.833","11,22M","-1,50%"
"05.12.2024","127.858","126.088","127.989","126.087","9,53M","1,40%"
"04.12.2024","126.087","126.139","126.720","125.828","9,39M","-0,04%"
"03.12.2024","126.139","125.235","126.417","125.233","9,99M","0,72%"
"02.12.2024","125.236","125.668","125.901","124.734","11,52M","-0,34%"
"29.11.2024","125.668","124.611","126.056","123.946","16,40M","0,85%"
"28.11.2024","124.610","127.667","127.668","124.390","12,83M","-2,40%"
"27.11.2024","127.669","129.923","130.283","127.669","12,32M","-1,73%"
"26.11.2024","129.922","129.043","130.361","129.042","9,75M","0,69%"
"25.11.2024","129.036","129.125","129.495","128.932","14,41M","-0,07%"
"22.11.2024","129.126","126.944","129.126","126.944","9,19M","1,74%"
"21.11.2024","126.922","128.197","128.197","126.594","10,27M","-0,99%"
"19.11.2024","128.197","127.768","128.579","127.235","9,10M","0,34%"
"18.11.2024","127.768","127.791","128.277","127.226","10,74M","-0,02%"
"14.11.2024","127.792","127.734","128.423","127.389","13,14M","0,05%"
"13.11.2024","127.734","127.698","128.100","126.869","12,69M","0,03%"
"12.11.2024","127.698","127.873","128.210","127.411","9,52M","-0,14%"
"11.11.2024","127.874","127.829","128.095","127.306","8,40M","0,03%"
"08.11.2024","127.830","129.647","129.647","126.973","13,18M","-1,43%"
"07.11.2024","129.682","130.341","131.319","129.406","10,52M","-0,51%"
"06.11.2024","130.341","130.613","130.670","128.822","10,54M","-0,24%"
"05.11.2024","130.661","130.515","130.769","129.692","8,56M","0,11%"
"04.11.2024","130.515","128.130","130.609","128.128","9,01M","1,87%"
"01.11.2024","128.121","129.718","129.902","128.070","9,90M","-1,23%"
"31.10.2024","129.713","130.639","130.798","129.642","9,07M","-0,71%"
"30.10.2024","130.639","130.730","131.027","130.473","7,33M","-0,07%"
